,Mobility Profile
2016-12-30 00:00:00+00:00,60520.24957772311
2016-12-30 01:00:00+00:00,70841.72443924203
2016-12-30 02:00:00+00:00,112179.77198442009
2016-12-30 03:00:00+00:00,83381.40210379448
2016-12-30 04:00:00+00:00,93488.72379138927
2016-12-30 05:00:00+00:00,103465.03005500142
2016-12-30 06:00:00+00:00,156246.56657930484
2016-12-30 07:00:00+00:00,325657.3841823275
2016-12-30 08:00:00+00:00,425888.7255384242
2016-12-30 09:00:00+00:00,583974.0891658722
2016-12-30 10:00:00+00:00,725097.121393582
2016-12-30 11:00:00+00:00,840803.2118342243
2016-12-30 12:00:00+00:00,852924.5242558533
2016-12-30 13:00:00+00:00,876788.7091093777
2016-12-30 14:00:00+00:00,932919.5415005218
2016-12-30 15:00:00+00:00,940889.1584982885
2016-12-30 16:00:00+00:00,895525.7302126609
2016-12-30 17:00:00+00:00,864476.6048653291
2016-12-30 18:00:00+00:00,869474.3274993043
2016-12-30 19:00:00+00:00,491603.4800096863
2016-12-30 20:00:00+00:00,335780.5961236336
2016-12-30 21:00:00+00:00,375728.867504482
2016-12-30 22:00:00+00:00,313210.382428484
2016-12-30 23:00:00+00:00,255888.92228602842
